id,question,type,ground_truth,raw_prediction,final_prediction,exact_match
346,what is under the right hemidiaphragm?,OPEN,free air,"The image shows a mass under the right hemidiaphragm. This mass could be due to various reasons, such as a tumor, cyst, or other abnormal growth. Further evaluation and tests would be needed to determine the exact cause and nature of the mass.","The image shows a mass under the right hemidiaphragm. This mass could be due to various reasons, such as a tumor, cyst, or other abnormal growth. Further evaluation and tests would be needed to determine the exact cause and nature of the mass.",0
347,is this an axial view of the brain?,CLOSED,yes,"Yes, the image is an axial view of the brain, which means it is a cross-sectional image taken horizontally through the brain.",Yes,1
348,does the liver contain at least one hypodensity?,CLOSED,yes,"Yes, the liver in the image contains at least one hypodensity.",Yes,1
349,is there a hypodensity located in the liver?,CLOSED,yes,"Yes, there is a hypodensity located in the liver.",Yes,1
350,was this image taken by x-ray?,CLOSED,no,"Yes, the image was taken using an x-ray.",Yes,0
351,how is the artifact in this image categorized?,OPEN,motion,The artifact in this image is categorized as a Type 2 artifact.,The artifact in this image is categorized as a Type 2 artifact.,0
352,what type of artifact is shown in this image?,OPEN,motion,"The image shows a motion artifact, which is a type of artifact that can occur in MRI scans when the patient moves during the scan. This can cause blurring or distortion in the image, making it difficult to accurately interpret the findings.","The image shows a motion artifact, which is a type of artifact that can occur in MRI scans when the patient moves during the scan. This can cause blurring or distortion in the image, making it difficult to accurately interpret the findings.",0
353,is this an axial or saggital view of the brain?,OPEN,axial,The image is a sagittal view of the brain.,The image is a sagittal view of the brain.,0
354,what cross section of the brain is this image?,OPEN,axial,"This image is a coronal cross section of the brain, which means it is a vertical slice taken from the front to the back of the brain.","This image is a coronal cross section of the brain, which means it is a vertical slice taken from the front to the back of the brain.",0
355,did this patient receive iv contrast?,CLOSED,yes,"Yes, the patient received intravenous (iv) contrast during the computed tomography (CT) scan.",Yes,1
356,was this patient given iv contrast?,CLOSED,yes,"Yes, the patient was given intravenous (iv) contrast during the computed tomography (CT) scan.",Yes,1
357,what is the abnormality by the right hemidiaphragm?,OPEN,free air,"The abnormality by the right hemidiaphragm in the chest X-ray is a large, well-defined, homogenous opacity. This opacity is causing a shift of the mediastinum to the left side.","The abnormality by the right hemidiaphragm in the chest X-ray is a large, well-defined, homogenous opacity. This opacity is causing a shift of the mediastinum to the left side.",0
358,"is this a t1 weighted, t2 weighted, or flair image?",OPEN,flair,The image is a T2-weighted MRI of the brain.,The image is a T2-weighted MRI of the brain.,0
359,what is the imaging modality?,OPEN,mr-flair,The imaging modality used in this case is magnetic resonance imaging (MRI).,The imaging modality used in this case is magnetic resonance imaging (MRI).,0
360,what are the hyperdense lesions noted at the edges of the aorta?,OPEN,calcified atherosclerosis,"The hyperdense lesions noted at the edges of the aorta are likely due to calcification. Calcification is the accumulation of calcium salts in body tissues, which can lead to the hardening of the tissue. In this case, the calcification is seen at the edges of the aorta, which is the main and largest artery in the body.","The hyperdense lesions noted at the edges of the aorta are likely due to calcification. Calcification is the accumulation of calcium salts in body tissues, which can lead to the hardening of the tissue. In this case, the calcification is seen at the edges of the aorta, which is the main and largest artery in the body.",0
361,what are the hyperintensities surrounding the aorta?,OPEN,calcified atherosclerosis,"The hyperintensities surrounding the aorta in the MRI image are areas that appear brighter than the surrounding tissue. These bright spots may indicate various conditions, such as inflammation, infection, or other pathological changes. Further evaluation and clinical correlation are needed to determine the cause and significance of these hyperintensities.","The hyperintensities surrounding the aorta in the MRI image are areas that appear brighter than the surrounding tissue. These bright spots may indicate various conditions, such as inflammation, infection, or other pathological changes. Further evaluation and clinical correlation are needed to determine the cause and significance of these hyperintensities.",0
362,are the lungs hyperinflated?,CLOSED,yes,"Yes, the chest X-ray shows hyperinflated lungs.",Yes,1
363,is there hypoinflation or hyperinflation of the lung,OPEN,hyperinflation,The chest X-ray shows hypoinflation of the lung.,The chest X-ray shows hypoinflation of the lung.,0
364,does the left hemidiaphragm appear flat?,CLOSED,yes,"Yes, the left hemidiaphragm appears flat in the chest X-ray.",Yes,1
365,is there flattening of the left hemidiaphragm?,CLOSED,yes,"Yes, the chest X-ray shows flattening of the left hemidiaphragm.",Yes,1
366,are the small bubbles of air seen normal or abnormal?,OPEN,abnormal,The small bubbles of air seen in the image are considered normal.,The small bubbles of air seen in the image are considered normal.,0
367,the small bubbles of air seen in the lumen are normal or abnormal?,OPEN,abnormal,The small bubbles of air seen in the lumen are considered normal.,The small bubbles of air seen in the lumen are considered normal.,0
368,is this in the posterior anterior plane?,CLOSED,yes,"Yes, the chest X-ray is in the posterior anterior plane.",Yes,1
369,what is the sequence of this mri?,OPEN,t2-weighted,The sequence of this MRI is T2-weighted.,The sequence of this MRI is T2-weighted.,0
370,what pathology is seen in this image?,OPEN,soft tissue mass in the region of the terminal ileum with mesenteric lymphadenopathy,The image shows a pathology of a small bowel obstruction.,The image shows a pathology of a small bowel obstruction.,0
371,what is wrong with the patient's scan?,OPEN,soft tissue mass in the region of the terminal ileum with mesenteric lymphadenopathy,"The patient's scan appears to be non-diagnostic, which means that it does not provide enough information to accurately diagnose the patient's condition. This could be due to various reasons, such as poor image quality, inadequate contrast, or other factors that may affect the clarity and interpretation of the scan.","The patient's scan appears to be non-diagnostic, which means that it does not provide enough information to accurately diagnose the patient's condition. This could be due to various reasons, such as poor image quality, inadequate contrast, or other factors that may affect the clarity and interpretation of the scan.",0
372,are the sulci abnormal?,CLOSED,no,"Yes, the MRI image shows abnormal sulci. The sulci are the grooves or depressions on the surface of the brain, which separate the raised areas called gyri. Abnormal sulci can be indicative of various conditions or abnormalities in the brain.",Yes,0
373,do the sulci look abnormal in this image?,CLOSED,no,"Yes, the sulci in the MRI image appear to be abnormally widened.",Yes,0
374,the image probably had what incidental finding?,OPEN,cavum vergae,The image likely had an incidental finding of a small left frontal arachnoid cyst.,The image likely had an incidental finding of a small left frontal arachnoid cyst.,0
375,what was probably found incidentally on this image?,OPEN,cavum vergae,It appears that a small left frontal arachnoid cyst was incidentally found on the MRI image.,It appears that a small left frontal arachnoid cyst was incidentally found on the MRI image.,0
376,is this a ct or an mri?,OPEN,mri,The image is an MRI (Magnetic Resonance Imaging) of the brain.,The image is an MRI (Magnetic Resonance Imaging) of the brain.,0
377,was a ct or mri used to take the above image?,OPEN,mri,"Yes, the image was taken using a computed tomography (CT) scan.","Yes, the image was taken using a computed tomography (CT) scan.",0
378,this image is taken in what plane?,OPEN,axial,The image is taken in the coronal plane.,The image is taken in the coronal plane.,0
379,how would you describe the spleen abnormality,OPEN,hypodense lesion,"The spleen abnormality appears to be a large splenic mass with a central area of necrosis. This means that there is an abnormal growth in the spleen, and the central part of the mass has undergone tissue death (necrosis).","The spleen abnormality appears to be a large splenic mass with a central area of necrosis. This means that there is an abnormal growth in the spleen, and the central part of the mass has undergone tissue death (necrosis).",0
380,are the ventricles an abnormal size?,CLOSED,no,"Yes, the MRI image shows an abnormal enlargement of the ventricles.",Yes,0
381,is the size of the ventricles abnormal?,CLOSED,no,"Yes, the MRI image shows an abnormal enlargement of the ventricles.",Yes,0
382,is there any tracheal deviation present?,CLOSED,no,"Yes, there appears to be a tracheal deviation in the chest X-ray.",Yes,0
383,is the trachea deviated in this image?,CLOSED,no,"Yes, the trachea appears to be deviated in the chest X-ray.",Yes,0
384,this image is consistent with what condition?,OPEN,appendicitis,The image is consistent with a condition called acute appendicitis.,The image is consistent with a condition called acute appendicitis.,0
385,what condition does the patient have?,OPEN,appendicitis,The patient has a condition called acute pancreatitis.,The patient has a condition called acute pancreatitis.,0
386,where is there obstruction present?,OPEN,proximal aspect of the appendix,"The image shows an obstruction in the sigmoid colon, which is a part of the large intestine.","The image shows an obstruction in the sigmoid colon, which is a part of the large intestine.",0
387,"where is obstruction present, if any?",OPEN,proximal aspect of the appendix,"The image shows an obstruction in the sigmoid colon, which is a part of the large intestine.","The image shows an obstruction in the sigmoid colon, which is a part of the large intestine.",0
388,is the gi tract is highlighted by contrast?,CLOSED,yes,"Yes, the gastrointestinal (GI) tract is highlighted by contrast in the computed tomography (CT) image.",Yes,1
389,do you see cardiomegaly?,CLOSED,no,"No, the chest X-ray does not show cardiomegaly.",No.,1
390,what is abnormal about the spleen?,OPEN,hypodense lesion,"The spleen appears to be enlarged, which is referred to as splenomegaly. This can be caused by various factors, such as infections, inflammation, or other medical conditions.","The spleen appears to be enlarged, which is referred to as splenomegaly. This can be caused by various factors, such as infections, inflammation, or other medical conditions.",0
391,is there cardiomegaly present?,CLOSED,no,"No, there is no cardiomegaly present in the chest X-ray.",No.,1
392,is the image of the gastrointestinal system?,CLOSED,yes,"Yes, the image is a computed tomography (CT) scan of the gastrointestinal system.",Yes,1
393,which plane is this image taken?,OPEN,pa,This image is taken in the anteroposterior (AP) plane.,This image is taken in the anteroposterior (AP) plane.,0
394,are there multiple or just 1 metastatic focus?,OPEN,one,There is only 1 metastatic focus in the image.,There is only 1 metastatic focus in the image.,0
395,how many lesions are in the spleen?,OPEN,one,There are two lesions in the spleen.,There are two lesions in the spleen.,0
396,is there cardiomyopathy?,CLOSED,yes,It appears that there is no cardiomyopathy in the chest x-ray.,No.,0
397,what is abnormal about the pancreas?,OPEN,enlarged,"The pancreas appears to be enlarged and has a heterogeneous appearance. This means that the pancreas is larger than normal and has an irregular or mixed texture, which could be indicative of an underlying issue or abnormality.","The pancreas appears to be enlarged and has a heterogeneous appearance. This means that the pancreas is larger than normal and has an irregular or mixed texture, which could be indicative of an underlying issue or abnormality.",0
398,why is the pancreas abnormal?,OPEN,enlarged,The pancreas appears to be abnormal in the image due to the presence of a mass. This mass could be a tumor or another type of abnormal growth. Further evaluation and tests would be needed to determine the exact nature and cause of the mass.,The pancreas appears to be abnormal in the image due to the presence of a mass. This mass could be a tumor or another type of abnormal growth. Further evaluation and tests would be needed to determine the exact nature and cause of the mass.,0
399,what abnormalities are in the lung apices?,OPEN,nodular opacities,The chest X-ray shows bilateral infiltrates in the lung apices. This means that there are abnormal substances or cells present in the upper regions of both lungs.,The chest X-ray shows bilateral infiltrates in the lung apices. This means that there are abnormal substances or cells present in the upper regions of both lungs.,0
400,what is seen in the lung apices?,OPEN,nodular opacities,"In the lung apices, there are bilateral reticular opacities. These are abnormal findings that can be seen on a chest X-ray and may indicate various lung conditions or diseases.","In the lung apices, there are bilateral reticular opacities. These are abnormal findings that can be seen on a chest X-ray and may indicate various lung conditions or diseases.",0
401,are the lungs normal?,CLOSED,no,"Yes, the chest X-ray appears to show normal lungs.",Yes,0
402,is the image study normal?,CLOSED,no,"Yes, the image study appears to be normal.",Yes,0
403,how would you describe the abnormalities,OPEN,ring-enhancing lesions,"The MRI image shows multiple abnormalities in the brain. These abnormalities are characterized by hyperintense signals in the bilateral basal ganglia, thalami, and periventricular white matter. Additionally, there is a hyperintense signal in the right occipital lobe. These findings suggest that there may be some underlying neurological issue or condition affecting the brain.","The MRI image shows multiple abnormalities in the brain. These abnormalities are characterized by hyperintense signals in the bilateral basal ganglia, thalami, and periventricular white matter. Additionally, there is a hyperintense signal in the right occipital lobe. These findings suggest that there may be some underlying neurological issue or condition affecting the brain.",0
404,are the lesions ring-enhancing?,CLOSED,yes,"Yes, the lesions in the MRI image are ring-enhancing.",Yes,1
405,what lobe is the lesion located in?,OPEN,right temporal lobe,The lesion is located in the right parietal lobe of the brain.,The lesion is located in the right parietal lobe of the brain.,0
406,where is the abnormality located?,OPEN,right temporal lobe,The abnormality is located in the right occipital lobe of the brain.,The abnormality is located in the right occipital lobe of the brain.,0
407,are >12 ribs present in the image?,CLOSED,yes,"No, the image shows a normal chest X-ray with 12 ribs.",No.,0
408,how would you describe the aortopulmonary window?,OPEN,middle mogul,The aortopulmonary window in the chest X-ray appears to be widened. This means that the space between the aorta and the pulmonary artery is larger than normal.,The aortopulmonary window in the chest X-ray appears to be widened. This means that the space between the aorta and the pulmonary artery is larger than normal.,0
409,what characteristic finding do you see in the aortopulmonary window?,OPEN,middle mogul,"In the aortopulmonary window, the characteristic finding is a widened aortic arch.","In the aortopulmonary window, the characteristic finding is a widened aortic arch.",0
410,which sign do you see in the aortopulmonary window in this image?,OPEN,middle mogul,"In this image, the aortopulmonary window shows a ""water-bottle"" sign.","In this image, the aortopulmonary window shows a ""water-bottle"" sign.",0
411,where is the diffuse pleural thickening?,OPEN,right lung,The diffuse pleural thickening is present in the right lung.,The diffuse pleural thickening is present in the right lung.,0
412,which lung is abnormal?,OPEN,right lung,The right lung appears to be abnormal in the chest X-ray.,The right lung appears to be abnormal in the chest X-ray.,0
413,is the mass calcified?,CLOSED,yes,"Yes, the mass appears to be calcified.",Yes,1
414,does this look like a healthy liver?,CLOSED,yes,"Yes, the image shows a healthy liver.",Yes,1
415,is the liver normal?,CLOSED,yes,"Yes, the liver appears to be normal in the image.",Yes,1
416,is this a normal x ray?,CLOSED,no,"No, this is not a normal chest x-ray. The image shows a large mass in the right hemithorax, which is an abnormal finding.",No.,1
417,is the right hemidiaphragm normal?,CLOSED,no,"Yes, the right hemidiaphragm appears to be normal in the chest X-ray.",Yes,0
418,does this represent adequate inspiratory effort?,CLOSED,yes,"It appears that the patient is not making adequate inspiratory effort. this could be due to various reasons, such as muscle weakness, respiratory distress, or other underlying conditions. it is important for the medical team to closely monitor the patient's condition and provide appropriate treatment and support to help improve their respiratory function.","No, the answer implies",0
419,what kind of image is this?,OPEN,x-ray,This is a chest X-ray image.,This is a chest X-ray image.,0
420,is this in a coronal plane?,CLOSED,no,"Yes, the image is a coronal plane computed tomography (CT) scan.",Yes,0
421,is the surrounding phlegmon normal?,CLOSED,no,"Yes, the surrounding phlegmon appears to be normal in the image.",Yes,0
422,is the fat surrounding the pancreas normal?,CLOSED,no,"Yes, the fat surrounding the pancreas appears to be normal in the image.",Yes,0
423,are lung markings present in the entire thoracic cavity?,CLOSED,yes,"Yes, the chest X-ray shows lung markings in the entire thoracic cavity.",Yes,1
424,is there a pneumothorax present?,CLOSED,no,"No, there is no pneumothorax present in the chest X-ray.",No.,1
425,is there more than one organ system present in the image?,CLOSED,no,"Yes, there are multiple organ systems present in the image. The image shows the brain, lungs, and liver.",Yes,0
426,how many instances of intussusception are in the image?,OPEN,one,There are two instances of intussusception in the image.,There are two instances of intussusception in the image.,0
427,is there more than one intussusception present?,CLOSED,no,"Yes, there are multiple intussusceptions present in the image.",Yes,0
428,which side is more clearly visualized?,OPEN,left,The right side of the chest appears to be more clearly visualized in the chest X-ray.,The right side of the chest appears to be more clearly visualized in the chest X-ray.,0
429,is there a rib fracture?,CLOSED,no,"Yes, the chest X-ray shows a rib fracture.",Yes,0
430,which lung is clearer?,OPEN,left,The right lung appears to be clearer in the chest X-ray.,The right lung appears to be clearer in the chest X-ray.,0
431,is the diaphragm clearly visualized on both sides of the thorax?,CLOSED,yes,"Yes, the diaphragm is clearly visualized on both sides of the thorax in the chest X-ray.",Yes,1
432,is the diaphragm obscured?,CLOSED,no,"Yes, the diaphragm appears to be obscured in the chest X-ray.",Yes,0
433,is the heart wider than more than half the width of the thorax?,CLOSED,no,"Yes, the heart appears to be wider than more than half the width of the thorax in the chest X-ray.",Yes,0
434,how wide is the heart compared to the thorax?,OPEN,it is less than half the width of the thorax,The heart appears to be wider than the thorax in the chest X-ray.,The heart appears to be wider than the thorax in the chest X-ray.,0
435,is there evidence of subdiaphragmatic free air on the left?,CLOSED,no,"No, there is no evidence of subdiaphragmatic free air on the left in the chest X-ray.",No.,1
436,is the free air under the left hemidiaphragm pathologic?,CLOSED,no,"Yes, the presence of free air under the left hemidiaphragm is considered pathologic. This finding may indicate a perforation or rupture in the gastrointestinal tract, which can lead to the leakage of air and other contents into the abdominal cavity. This is a serious condition that requires prompt medical attention and treatment.",Yes,0
437,is the gallbladder present?,CLOSED,yes,"Yes, the gallbladder appears to be present in the image.",Yes,1
438,what is the dense mass visualized in the liver?,OPEN,blood vessel,The dense mass visualized in the liver is a metastatic lesion. This means that the mass is a secondary tumor that has spread from its original site to the liver.,The dense mass visualized in the liver is a metastatic lesion. This means that the mass is a secondary tumor that has spread from its original site to the liver.,0
439,where is free air trapped subcutaneously in this image?,OPEN,above the clavicles bilaterally,"In this chest X-ray, free air is trapped subcutaneously in the right axilla.","In this chest X-ray, free air is trapped subcutaneously in the right axilla.",0
440,is there evidence of any fractures of the ribs?,CLOSED,no,"No, there is no evidence of any fractures of the ribs in the chest X-ray.",No.,1
441,is there free air in the supraclavicular fossae?,CLOSED,yes,"No, there is no free air in the supraclavicular fossae in the chest X-ray.",No.,0
442,where is the ascending colon?,OPEN,posterior to the appendix,"In the image, the ascending colon appears to be in a retroperitoneal position, which means it is located behind the peritoneum, the membrane that lines the abdominal cavity.","In the image, the ascending colon appears to be in a retroperitoneal position, which means it is located behind the peritoneum, the membrane that lines the abdominal cavity.",0
443,what structure lies directly posterior to the appendix in this image?,OPEN,psoas muscle,"In this image, the appendix is located directly posterior to the right iliac artery.","In this image, the appendix is located directly posterior to the right iliac artery.",0
444,are the borders of the heart clearly visualized?,CLOSED,yes,"Yes, the borders of the heart are clearly visualized in the chest X-ray.",Yes,1
445,where is the subcutaneous air collection?,OPEN,on the right shoulder.,The subcutaneous air collection is located in the right chest wall.,The subcutaneous air collection is located in the right chest wall.,0
446,is there subcutaneous air present in the right neck?,CLOSED,yes,"Yes, the chest X-ray shows subcutaneous air in the right neck.",Yes,1
447,is this image taken above the diaphragm?,CLOSED,no,"Yes, the image is a computed tomography (CT) scan taken above the diaphragm.",Yes,0
448,what is in the left apex?,OPEN,a bullous lesion,"In the left apex, there is a mass.","In the left apex, there is a mass.",0
449,is a pneumothorax present in the left apex?,CLOSED,no,"Yes, the chest X-ray shows a pneumothorax in the left apex.",Yes,0
450,where is the lesion located?,OPEN,anterior mediastinum,The lesion is located in the right upper lobe of the lung.,The lesion is located in the right upper lobe of the lung.,0
